"idx","sex","status","grade"
"6884","여","유료회원","초3학년"
"6331","남","유료회원","초3학년"
"69294","남","유료회원","초5학년"
"31531","여","유료회원","초1학년"
"85784","여","유료회원","초2학년"
"58058","여","유료회원","초3학년"
"777","남","유료회원","초3학년"
"5482","여","유료회원","초2학년"
"63447","남","유료회원","초2학년"
"54957","남","유료회원","초4학년"
"55340","남","유료회원","초2학년"
"72887","여","유료회원","초3학년"
"40008","여","유료회원","초3학년"
"57551","남","유료회원","초5학년"
"58583","여","유료회원","초3학년"
"32219","남","유료회원","초1학년"
"13136","여","유료회원","초4학년"
"22122","남","유료회원","초6학년"
"18306","남","유료회원","초4학년"
"28057","남","유료회원","초3학년"
"38189","여","유료회원","초3학년"
"13592","정보없음","유료회원","초5학년"
"65367","남","유료회원","초3학년"
"59274","남","유료회원","초3학년"
"74539","정보없음","유료회원","초4학년"
"65287","여","유료회원","초3학년"
"56376","남","유료회원","초3학년"
"60415","정보없음","유료회원","초4학년"
"11108","여","유료회원","초4학년"
"36077","남","유료회원","초3학년"
"4967","여","유료회원","0학년"
"83046","여","유료회원","초3학년"
"31743","여","유료회원","초2학년"
"54813","남","유료회원","초3학년"
"34616","여","유료회원","초4학년"
"65970","남","유료회원","초2학년"
"2002","남","유료회원","초4학년"
"37411","남","유료회원","초2학년"
"15896","여","유료회원","초6학년"
"1077","여","유료회원","초4학년"
"72641","남","유료회원","초5학년"
"8647","남","유료회원","초4학년"
"29741","여","유료회원","초2학년"
"37495","남","유료회원","초1학년"
"42580","남","유료회원","초6학년"
"35100","남","유료회원","초3학년"
"80750","여","유료회원","초1학년"
"21367","여","유료회원","초2학년"
"89433","남","유료회원","초1학년"
"5196","여","유료회원","초3학년"
"43145","남","유료회원","초2학년"
"39254","남","유료회원","초3학년"
"85973","여","유료회원","초2학년"
"72722","여","유료회원","0학년"
"14985","여","유료회원","초5학년"
"34369","남","유료회원","초2학년"
"47225","남","유료회원","초2학년"
"6592","남","유료회원","초2학년"
"20263","여","유료회원","초5학년"
"48904","남","유료회원","초2학년"
"1225","여","유료회원","초3학년"
"61447","여","유료회원","초3학년"
"19326","남","유료회원","초5학년"
"21420","여","유료회원","초4학년"
"52358","남","유료회원","초1학년"
"1067","여","유료회원","초5학년"
"50812","여","유료회원","초6학년"
"45790","남","유료회원","초3학년"
"34839","남","유료회원","초3학년"
"3785","여","유료회원","초2학년"
"28282","여","유료회원","초3학년"
"75726","여","유료회원","초2학년"
