"idx","proc_ym","proc_ymd","point"
"96465","202306","20230624","1000"
"96465","202306","20230624","500"
"87940","202304","20230405","2000"
"87940","202304","20230405","3500"
"87940","202304","20230405","4000"
"87940","202304","20230405","3000"
"87940","202304","20230405","2500"
"88058","202304","20230405","3000"
"88058","202304","20230405","1000"
"88058","202304","20230405","1500"
"88058","202304","20230405","2500"
"88058","202304","20230405","500"
"88058","202304","20230405","2000"
"95844","202306","20230617","1500"
"95844","202306","20230617","1000"
"95050","202306","20230612","3500"
"95050","202306","20230612","4000"
"95050","202306","20230612","4500"
"92560","202305","20230511","1000"
"92560","202305","20230511","500"
"92560","202305","20230513","4000"
"92560","202305","20230513","3000"
"92560","202305","20230513","3500"
"92560","202305","20230513","4500"
"92389","202305","20230513","1500"
"92389","202305","20230513","500"
"92389","202305","20230513","1000"
"92389","202305","20230513","2500"
"92389","202305","20230513","2000"
"89171","202304","20230413","2500"
"89171","202304","20230413","3000"
"89171","202304","20230413","1000"
"89171","202304","20230413","3500"
"89171","202304","20230413","1500"
"89171","202304","20230413","500"
"89171","202304","20230413","4000"
"89171","202304","20230413","2000"
"93292","202305","20230519","4000"
"93292","202305","20230519","5000"
"93292","202305","20230519","3500"
"93292","202305","20230519","4500"
"89987","202306","20230613","4500"
"90179","202304","20230424","4000"
"90179","202304","20230424","3500"
"90179","202304","20230424","3000"
"90179","202304","20230424","4500"
"90179","202304","20230424","5000"
"90183","202304","20230424","4500"
"90183","202304","20230424","5000"
"90183","202304","20230424","4000"
"90506","202304","20230424","500"
"90506","202304","20230424","1000"
"90506","202304","20230424","2000"
"90506","202304","20230424","1500"
"94426","202306","20230628","5000"
"94426","202306","20230628","4500"
"96109","202306","20230628","5000"
"96109","202306","20230628","3500"
"96109","202306","20230628","4000"
"96109","202306","20230628","4500"
"87188","202304","20230412","4000"
"87188","202304","20230412","4500"
"87188","202304","20230412","5000"
"91801","202305","20230509","2000"
"91801","202305","20230509","4500"
"91801","202305","20230509","3500"
"91801","202305","20230509","2500"
"91801","202305","20230509","4000"
"91801","202305","20230509","500"
"91801","202305","20230509","5000"
"91801","202305","20230509","1000"
"91801","202305","20230509","1500"
"91801","202305","20230509","3000"
"91907","202305","20230509","2000"
"91907","202305","20230509","3000"
"91907","202305","20230509","5000"
"91907","202305","20230509","1500"
"91907","202305","20230509","2500"
"91907","202305","20230509","4500"
"91907","202305","20230509","1000"
"91907","202305","20230509","500"
"91907","202305","20230509","3500"
"91907","202305","20230509","4000"
"95954","202306","20230618","1500"
"95954","202306","20230618","2000"
