idx,point,pointname,credate
3188,1000,교사부여,20221031
2015,590,교사부여,20221031
3842,2000,교사부여,20221031
1547,1000,교사부여,20221031
891,2000,교사부여,20221031
3915,830,교사부여,20221031
122,600,교사부여,20221031
2677,1000,교사부여,20221031
3245,2000,교사부여,20221031
2152,1000,교사부여,20221031
1295,1000,교사부여,20221031
1488,1000,교사부여,20221031
1269,1000,교사부여,20221031
558,1060,교사부여,20221031
1672,1000,교사부여,20221031
3207,1000,교사부여,20221031
699,550,교사부여,20221031
2854,1000,교사부여,20221031
109,700,교사부여,20221031
97,600,교사부여,20221031
74,730,교사부여,20221031
716,1000,교사부여,20221031
3386,1490,교사부여,20221031
3369,1000,교사부여,20221031
1119,1000,교사부여,20221031
2486,1000,교사부여,20221031
1959,1000,교사부여,20221031
1968,1000,교사부여,20221031
596,1000,교사부여,20221031
624,1000,교사부여,20221031
3734,1000,교사부여,20221031
265,700,교사부여,20221031
266,600,교사부여,20221031
1954,1000,교사부여,20221031
3920,2000,교사부여,20221031
2720,1000,교사부여,20221031
1493,1000,교사부여,20221031
1836,1110,교사부여,20221031
1112,1000,교사부여,20221031
1469,2000,교사부여,20221031
966,1000,교사부여,20221031
2155,2000,교사부여,20221031
2984,1000,교사부여,20221031
562,5000,교사부여,20221031
433,600,교사부여,20221031
2382,1000,교사부여,20221031
2573,1000,교사부여,20221031
2821,1000,교사부여,20221031
1468,1000,교사부여,20221031
73,700,교사부여,20221031
526,5000,교사부여,20221031
2626,1000,교사부여,20221031
1510,1000,교사부여,20221031
1489,1000,교사부여,20221031
3069,700,교사부여,20221031
1294,1000,교사부여,20221031
673,1000,교사부여,20221031
3334,1000,교사부여,20221031
2741,1000,교사부여,20221031
1241,800,교사부여,20221031
759,1000,교사부여,20221031
1195,1500,교사부여,20221031
2897,1000,교사부여,20221031
3873,1000,교사부여,20221031
3091,1000,교사부여,20221031
91,5000,교사부여,20221031
2498,20000,교사부여,20221031
1965,1000,교사부여,20221031
91,30000,교사부여,20221031
91,15000,교사부여,20221031
1910,1000,교사부여,20221031
2527,30000,교사부여,20221031
1667,1000,교사부여,20221031
3447,1000,교사부여,20221031
642,1000,교사부여,20221031
1945,1000,교사부여,20221031
283,1000,교사부여,20221031
2544,1050,교사부여,20221031
2443,1000,교사부여,20221031
3352,1000,교사부여,20221031
3444,1800,교사부여,20221031
2499,1000,교사부여,20221031
3638,1000,교사부여,20221031
861,1000,친구추천 회원가입,20221031
2437,1000,친구추천,20221031
2605,1000,친구추천 회원가입,20221031
767,1000,교사부여,20221031
1461,1000,교사부여,20221031
1798,1000,친구추천 회원가입,20221031
2173,1000,회원가입 추천,20221031
587,1000,친구추천,20221031
2929,1000,친구추천 회원가입,20221031
1944,1000,친구추천 회원가입,20221031
63,1000,회원가입 추천,20221031
2545,1000,친구추천 회원가입,20221031
3907,1000,친구추천,20221031
1935,1000,친구추천 회원가입,20221031
3158,1000,친구추천,20221031
538,1000,친구추천,20221031
1267,2000,교사부여,20221031
504,1000,친구추천,20221031
373,1000,친구추천,20221031
35,1000,친구추천,20221031
2310,1000,친구추천 회원가입,20221031
237,1000,친구추천,20221031
1947,1000,친구추천 회원가입,20221031
1379,1000,친구추천 회원가입,20221031
1754,1000,회원가입 추천,20221031
2395,1000,친구추천,20221031
40,1000,회원가입 추천,20221031
390,1000,친구추천,20221031
463,1000,친구추천,20221031
463,1000,회원가입 추천,20221031
2864,1000,친구추천 회원가입,20221031
3291,1000,친구추천 회원가입,20221031
243,1000,친구추천,20221031
243,1000,회원가입 추천,20221031
3713,1000,친구추천,20221031
3201,1000,친구추천,20221031
144,1000,회원가입 추천,20221031
1320,1000,친구추천,20221031
144,1000,친구추천,20221031
2263,1000,친구추천 회원가입,20221031
28,1000,친구추천,20221031
2289,1000,친구추천,20221031
28,1000,친구추천,20221031
3166,1000,친구추천,20221031
2188,1000,교사부여,20221031
221,1000,회원가입 추천,20221031
59,1000,회원가입 추천,20221031
191,1000,친구추천,20221031
1538,1000,친구추천 회원가입,20221031
446,1000,친구추천,20221031
378,1000,친구추천,20221031
1129,1000,회원가입 추천,20221031
581,1000,친구추천,20221031
2112,1000,친구추천,20221031
2687,1000,회원가입 추천,20221031
194,1000,회원가입 추천,20221031
24,1000,회원가입 추천,20221031
2325,1000,친구추천 회원가입,20221031
3596,1000,친구추천 회원가입,20221031
92,1000,친구추천,20221031
3108,1000,회원가입 추천,20221031
422,1000,친구추천 회원가입,20221031
92,1000,친구추천,20221031
1716,1000,회원가입 추천,20221031
612,1000,친구추천 회원가입,20221031
3098,1000,친구추천,20221031
460,1000,친구추천,20221031
96,1000,회원가입 추천,20221031
2269,1000,친구추천 회원가입,20221031
1675,1000,친구추천 회원가입,20221031
1629,1000,친구추천,20221031
460,1000,친구추천,20221031
2154,1000,친구추천 회원가입,20221031
1981,1000,친구추천 회원가입,20221031
372,1000,친구추천 회원가입,20221031
3128,1000,친구추천 회원가입,20221031
170,1000,교사부여,20221031
36,1000,교사부여,20221031
2280,1000,교사부여,20221031
3472,1000,친구추천,20221031
520,1000,친구추천,20221031
833,1000,회원가입 추천,20221031
37,1000,친구추천,20221031
559,1000,회원가입 추천,20221031
2147,1000,친구추천 회원가입,20221031
3763,956,교사부여,20221031
273,1000,(북클럽) 북클럽 -> 초등 전환,20221031
710,1000,친구추천 회원가입,20221031
191,1000,회원가입 추천,20221031
776,1000,친구추천 회원가입,20221031
1737,1200,(북클럽) 북클럽 -> 초등 전환,20221031
74,1000,친구추천 회원가입,20221031
603,1000,친구추천,20221031
2364,1000,교사부여,20221031
221,1000,친구추천,20221031
3238,1000,친구추천 회원가입,20221031
2638,1000,회원가입 추천,20221031
3293,1000,회원가입 추천,20221031
622,1000,친구추천,20221031
2332,1000,친구추천 회원가입,20221031
3211,2000,교사부여,20221031
3694,1000,친구추천,20221031
1631,1000,친구추천,20221031
2679,900,교사부여,20221031
3592,1000,친구추천,20221031
436,1000,친구추천,20221031
3210,1000,친구추천 회원가입,20221031
37,1000,친구추천,20221031
436,1000,회원가입 추천,20221031
155,1000,친구추천 회원가입,20221031
2,1000,회원가입 추천,20221031
362,1000,친구추천,20221031
2619,1000,친구추천 회원가입,20221031
3092,1000,친구추천 회원가입,20221031
2756,1000,친구추천 회원가입,20221031
1433,1000,친구추천 회원가입,20221031
1827,1000,친구추천,20221031
1918,1273,(북클럽) 북클럽 -> 초등 전환,20221031
1193,1000,회원가입 추천,20221031
5,1000,회원가입 추천,20221031
3212,1000,친구추천,20221031
2732,1000,회원가입 추천,20221031
3517,1000,교사부여,20221031
1421,1000,친구추천 회원가입,20221031
685,1000,회원가입 추천,20221031
3711,1000,교사부여,20221031
1188,1000,교사부여,20221031
3178,1000,친구추천 회원가입,20221031
610,1000,친구추천,20221031
903,1000,회원가입 추천,20221031
3331,2000,(북클럽) 북클럽 -> 초등 전환,20221031
202,1000,친구추천,20221031
2,1000,회원가입 추천,20221031
2424,1000,친구추천 회원가입,20221031
1929,1000,친구추천 회원가입,20221031
3822,1000,친구추천 회원가입,20221031
34,1000,회원가입 추천,20221031
2668,1000,친구추천,20221031
1424,1000,친구추천,20221031
2609,1000,교사부여,20221031
96,1000,친구추천,20221031
1557,1000,교사부여,20221031
2398,1000,친구추천,20221031
2261,1000,친구추천 회원가입,20221031
1284,1000,친구추천 회원가입,20221031
2374,1000,친구추천 회원가입,20221031
202,1000,회원가입 추천,20221031
631,1000,친구추천 회원가입,20221031
839,1000,회원가입 추천,20221031
3485,1000,친구추천 회원가입,20221031
22,1000,회원가입 추천,20221031
2060,1000,친구추천 회원가입,20221031
12,1000,회원가입 추천,20221031
1351,1000,친구추천 회원가입,20221031
2561,1000,친구추천,20221031
2328,1000,친구추천 회원가입,20221031
3718,1000,친구추천 회원가입,20221031
2186,1000,회원가입 추천,20221031
3892,1000,교사부여,20221031
551,1000,친구추천,20221031
254,1000,친구추천,20221031
856,1000,친구추천 회원가입,20221031
18,1000,친구추천,20221031
3606,30000,교사부여,20221031
3374,1000,친구추천 회원가입,20221031
3404,1000,교사부여,20221031
2665,5000,교사부여,20221031
18,1000,친구추천,20221031
3847,1000,친구추천 회원가입,20221031
298,1000,회원가입 추천,20221031
15,1000,회원가입 추천,20221031
57,1000,회원가입 추천,20221031
396,1000,친구추천,20221031
550,1005,(북클럽) 북클럽 -> 초등 전환,20221031
1326,1000,친구추천,20221031
743,1000,친구추천 회원가입,20221031
983,1000,친구추천 회원가입,20221031
2175,1000,친구추천 회원가입,20221031
195,1000,교사부여,20221031
1641,1000,친구추천 회원가입,20221031
298,1000,친구추천,20221031
1678,1000,교사부여,20221031
1481,1000,교사부여,20221031
3588,1000,교사부여,20221031
514,1000,교사부여,20221031
2655,4700,교사부여,20221031
3024,1000,교사부여,20221031
1254,1000,교사부여,20221031
684,2000,교사부여,20221031
787,905,교사부여,20221031
2774,1000,교사부여,20221031
3815,1000,교사부여,20221031
363,1000,교사부여,20221031
1399,1000,친구추천,20221031
3019,1500,교사부여,20221031
1604,1000,회원가입 추천,20221031
4,1000,회원가입 추천,20221031
3712,1000,친구추천 회원가입,20221031
2214,1000,교사부여,20221031
1887,1000,친구추천 회원가입,20221031
2324,1000,친구추천,20221031
1211,1000,친구추천,20221031
1878,1000,교사부여,20221031
11,1000,친구추천,20221031
1652,1000,친구추천 회원가입,20221031
2452,1000,교사부여,20221031
3529,1000,회원가입 추천,20221031
1845,9000,프라임 존 환불,20221031
758,1000,친구추천 회원가입,20221031
3377,1000,교사부여,20221031
3632,1000,친구추천 회원가입,20221031
319,1000,회원가입 추천,20221031
319,1000,친구추천,20221031
513,1000,친구추천 회원가입,20221031
3547,1000,친구추천 회원가입,20221031
1386,1000,친구추천 회원가입,20221031
1247,1000,친구추천,20221031
252,1000,친구추천,20221031
3667,1000,교사부여,20221031
709,1000,회원가입 추천,20221031
2674,1000,친구추천 회원가입,20221031
446,1000,회원가입 추천,20221031
237,1000,회원가입 추천,20221031
755,1000,친구추천,20221031
3117,1000,친구추천 회원가입,20221031
1184,1000,친구추천 회원가입,20221031
3594,1000,친구추천,20221031
2611,1000,회원가입 추천,20221031
70,1000,친구추천,20221031
2000,1000,친구추천,20221031
2376,1000,회원가입 추천,20221031
48,1000,회원가입 추천,20221031
537,1000,친구추천 회원가입,20221031
1089,1000,친구추천 회원가입,20221031
2775,1000,친구추천 회원가입,20221031
2866,1000,교사부여,20221031
2330,1000,회원가입 추천,20221031
2779,1000,친구추천 회원가입,20221031
1729,1000,친구추천,20221031
2829,1000,친구추천,20221031
1707,1000,친구추천 회원가입,20221031
2623,1000,교사부여,20221031
1085,1000,회원가입 추천,20221031
3255,1000,친구추천 회원가입,20221031
1872,1000,친구추천 회원가입,20221031
71,1000,회원가입 추천,20221031
1060,1000,친구추천 회원가입,20221031
2018,1000,친구추천 회원가입,20221031
1674,1000,교사부여,20221031
70,1000,친구추천,20221031
1755,1000,회원가입 추천,20221031
1291,1000,회원가입 추천,20221031
2727,1000,친구추천 회원가입,20221031
390,1000,회원가입 추천,20221031
252,1000,회원가입 추천,20221031
3353,1000,친구추천 회원가입,20221031
121,1000,교사부여,20221031
392,1000,친구추천,20221031
2764,1000,친구추천 회원가입,20221031
408,1000,회원가입 추천,20221031
3094,1000,친구추천 회원가입,20221031
950,1000,친구추천 회원가입,20221031
302,1000,회원가입 추천,20221031
357,1000,회원가입 추천,20221031
3673,1000,회원가입 추천,20221031
2210,1000,친구추천 회원가입,20221031
29,1000,회원가입 추천,20221031
651,1000,친구추천 회원가입,20221031
128,1000,회원가입 추천,20221031
120,1000,친구추천,20221031
